model_id,title,category,polygons,vertices,geometry,rigged,animated,unwrapped_uvs,textures,texture_sizes,dimensions,price_usd,license_type,url
2551637,Aermacchi M-346FA Fighter Attack Jet Gray,aircraft,650811,678606,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,10.24 x 11.78 x H4.94 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/aermacchi-m-346fa-fighter-attack-jet-gray-2551637/
2554905,Labrador Dog Full Anatomy Structure and Skeleton,animals-creatures,965177,966935,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,25.25 x 96.77 x H70.73 cm,369,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/labrador-dog-full-anatomy-structure-and-skeleton-2554905/
2580782,Metropolitan Life Insurance Company Tower,architecture-landmarks,154355863,366159786,polygonal quads/tris,model is not jointed,model is animated,Mixed,0,8192x8192,135.81 x 66.32 x H214.51 m,169,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/metropolitan-life-insurance-company-tower-2580782/
2574664,Sultana TM40 Tandem Axle Passenger Bus Silver,characters-people,488636,520100,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,8192x8192 4096x4096 2048x2048 6588x1329,292.6588 x 1329.182 x H361.7468 cm,149,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/sultana-tm40-tandem-axle-passenger-bus-silver-2574664/
2558594,Topps 2022 Graded Baseball Cards in Storage Case Black,clothing-accessories,824263,825529,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096,55.59 x 37.16 x H44.44 cm,59,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/topps-2022-graded-baseball-cards-in-storage-case-black-2558594/
2577103,Printed Newspaper Bundle with Twine White,collections-sets,417878,417745,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,31.34 x 42.55 x H20.67 cm,29,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/printed-newspaper-bundle-with-twine-white-2577103/
2574104,Maritime Freight Vessel with Containers,containers-storage,5769509,6021147,polygonal quads/tris,model is not jointed,model is not animated,"Yes, non-overlapping",0,8192x8192 4096x4096,27.69 x 167.38 x H46.79 m,199,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/maritime-freight-vessel-with-containers-2574104/
2564613,Security CCTV Workstations with Display Panels,electronics-gadgets,940180,961892,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,8192x8192 4096x4096 1024x1024,228.6 x 547.16 x H270.12 cm,119,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/security-cctv-workstations-with-display-panels-2564613/
2559289,Assorted Gumdrops Sugar Coating Set Multicolor,food-beverages,2658971,2283056,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096,30.48 x 6.29 x H3.46 cm,49,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/assorted-gumdrops-sugar-coating-set-multicolor-2559289/
2582291,Michael Jackson ONE Theatre Mandalay Bay,furniture-interior,5024472,5215741,polygonal quads/tris,model is not jointed,model is not animated,Mixed,0,4096x4096 512x512,85.35 x 56.59 x H24.45 m,249,Royalty Free (TurboSquid),https://3dmolierstudio.com/models/michael-jackson-one-theatre-mandalay-bay-2582291/
