product_id,product_name,slug,turbosquid_url,referral_url,price,sales_qty,estimated_revenue,recent_sales,downloads,full_previews,shopping_carts,days_in_sales,certification,category,subcategory,industries,use_cases,seo_keywords,priority_score,is_top_model,image_url
930528,Railroad Amtrak Passenger Car 2,railroad-amtrak-passenger-car-2-930528,https://www.turbosquid.com/3d-models/railroad-amtrak-passenger-car-2-930528,https://www.turbosquid.com/3d-models/railroad-amtrak-passenger-car-2-930528?referral=3d_molier-studio,79.0,20.0,1580.0,0.0,21.0,2077.0,32.0,3964.0,CheckMate Lite/Pro,Vehicles,Car,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,railroad amtrak passenger car 3d model|vehicle 3d model|car 3d model|railroad amtrak passenger car for games,0.137587,True,https://static.turbosquid.com/Preview/000930/528/Railroad-Amtrak-Passenger-Car-2_D_Main.jpg
921537,Tracked Excavator Volvo EC144D Rigged,tracked-excavator-volvo-ec144d-rigged-921537,https://www.turbosquid.com/3d-models/tracked-excavator-volvo-ec144d-rigged-921537,https://www.turbosquid.com/3d-models/tracked-excavator-volvo-ec144d-rigged-921537?referral=3d_molier-studio,159.0,26.0,4134.0,2.0,48.0,3835.0,53.0,3991.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,tracked excavator volvo ec144d 3d model|vehicle 3d model|car 3d model|tracked excavator volvo ec144d for games,0.150786,True,https://static.turbosquid.com/Preview/000921/537/Tracked-Excavator-Volvo-Ec144d-Rigged_D_Main.jpg
921786,Tracked Excavator Generic 3D Model,tracked-excavator-generic-3d-model-921786,https://www.turbosquid.com/3d-models/tracked-excavator-generic-3d-model-921786,https://www.turbosquid.com/3d-models/tracked-excavator-generic-3d-model-921786?referral=3d_molier-studio,139.0,18.0,2502.0,0.0,30.0,1476.0,27.0,3990.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,tracked excavator generic 3d 3d model|vehicle 3d model|car 3d model|tracked excavator generic 3d for games,0.13763,True,https://static.turbosquid.com/Preview/000921/786/Tracked-Excavator-Generic-3d-Model_D_Main.jpg
924960,Tracked Excavator Volvo EC144D,tracked-excavator-volvo-ec144d-924960,https://www.turbosquid.com/3d-models/tracked-excavator-volvo-ec144d-924960,https://www.turbosquid.com/3d-models/tracked-excavator-volvo-ec144d-924960?referral=3d_molier-studio,139.0,16.0,2224.0,2.0,21.0,2415.0,28.0,3982.0,CheckMate Lite/Pro,Vehicles,Excavator,Games|Film & Video Production|Advertising|Architecture|Simulation,visualization|advertising|game environments|film production|simulation,tracked excavator volvo ec144d 3d model|vehicle 3d model|car 3d model|tracked excavator volvo ec144d for games,0.139935,True,https://static.turbosquid.com/Preview/000924/960/Tracked-Excavator-Volvo-Ec144d_D_Main.jpg
1550640,Airbus A400M Atlas Military Transport Aircraft Rigged,airbus-a400m-atlas-military-transport-aircraft-rigged-1550640,https://www.turbosquid.com/3d-models/airbus-a400m-atlas-military-transport-aircraft-rigged-1550640,https://www.turbosquid.com/3d-models/airbus-a400m-atlas-military-transport-aircraft-rigged-1550640?referral=3d_molier-studio,219.0,20.0,4380.0,8.0,34.0,2706.0,29.0,2164.0,CheckMate Lite/Pro,Aircraft,Aircraft,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,airbus a400m atlas military 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.155673,True,https://static.turbosquid.com/Preview/001550/640/Airbus-A400m-Atlas-Military-Transport-Aircraft-Rigged_D_Main.jpg
1605777,Airbus A400M Atlas Turboprop Military Transport Aircraft,airbus-a400m-atlas-turboprop-military-transport-aircraft-1605777,https://www.turbosquid.com/3d-models/airbus-a400m-atlas-turboprop-military-transport-aircraft-1605777,https://www.turbosquid.com/3d-models/airbus-a400m-atlas-turboprop-military-transport-aircraft-1605777?referral=3d_molier-studio,179.0,65.0,11635.0,24.0,112.0,9231.0,125.0,2058.0,StemCell,Aircraft,Aircraft,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,airbus a400m atlas turboprop 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.211595,True,https://static.turbosquid.com/Preview/001605/777/Airbus-A400m-Atlas-Turboprop-Military-Transport-Aircraft_D_Main.jpg
1984112,Airbus A400M Military Transport Green,airbus-a400m-military-transport-green-1984112,https://www.turbosquid.com/3d-models/airbus-a400m-military-transport-green-1984112,https://www.turbosquid.com/3d-models/airbus-a400m-military-transport-green-1984112?referral=3d_molier-studio,179.0,8.0,1432.0,7.0,17.0,2083.0,13.0,1242.0,CheckMate Lite/Pro,Aircraft,Airbus,Aerospace|Film & Video Production|Games|Simulation|Virtual Reality,aerospace visualization|film production|simulation|VR experiences|game environments,airbus a400m military transport 3d model|aircraft 3d model|airplane 3d model|aviation 3d model,0.141371,True,https://static.turbosquid.com/Preview/001984/112/Airbus-A400m-Military-Transport-Green_D_Main.jpg
1394359,Sigma Class Indonesian Frigate,sigma-class-indonesian-frigate-1394359,https://www.turbosquid.com/3d-models/sigma-class-indonesian-frigate-1394359,https://www.turbosquid.com/3d-models/sigma-class-indonesian-frigate-1394359?referral=3d_molier-studio,199.0,13.0,2587.0,3.0,15.0,6150.0,24.0,2555.0,CheckMate Lite/Pro,Military Vehicles,Frigate,Military / Defense|Games|Film & Video Production|Simulation,military simulation|game environments|film production|defense training,sigma class indonesian frigate 3d model|military vehicle 3d model|military 3d model|tank 3d model,0.142628,True,https://static.turbosquid.com/Preview/001394/359/Sigma-Class-Indonesian-Frigate_D_Main.jpg
1100922,Anti Aircraft Tank ZSU 23 Shilka,anti-aircraft-tank-zsu-23-shilka-1100922,https://www.turbosquid.com/3d-models/anti-aircraft-tank-zsu-23-shilka-1100922,https://www.turbosquid.com/3d-models/anti-aircraft-tank-zsu-23-shilka-1100922?referral=3d_molier-studio,129.0,13.0,1677.0,3.0,22.0,1892.0,19.0,3401.0,CheckMate Lite/Pro,Military Vehicles,Tank,Military / Defense|Games|Film & Video Production|Simulation,military simulation|game environments|film production|defense training,anti aircraft tank zsu 3d model|military vehicle 3d model|military 3d model|tank 3d model,0.138171,True,https://static.turbosquid.com/Preview/001100/922/Anti-Aircraft-Tank-Zsu-23-Shilka_D_Main.jpg
1786441,Viking Ship Dragon Head,viking-ship-dragon-head-1786441,https://www.turbosquid.com/3d-models/viking-ship-dragon-head-1786441,https://www.turbosquid.com/3d-models/viking-ship-dragon-head-1786441?referral=3d_molier-studio,39.0,15.0,585.0,8.0,24.0,6171.0,22.0,1662.0,CheckMate Lite/Pro,Ships,Ship,Film & Video Production|Games|Simulation|Event Management,film production|game environments|simulation|event visualization,viking ship dragon head 3d model|ship 3d model|boat 3d model|vessel 3d model,0.147793,True,https://static.turbosquid.com/Preview/001786/441/Viking-Ship-Dragon-Head_D_Main.jpg
